Address;Conclusion;USDC in IDO;ADAO from IDO;ADAO from DEX;ADAO from NFT;Illegal ADAO from creators;Txns from creators;ADAO from unknown sources;Txns from unknown sources
6OCMIKX2CRX4JIMKRTR7GJTYBX7ZCJRJGI4TQD32GU2Q7QNQM3ZGFTGY2A;-147929.0;0.0;0.0;0.0;0;147929.0;['EDYR6CXPJEJVFMONYMTZ6VCZMRRDREGVXHLE5VOLXN2BFEEBOJPA'];0.0;[]
HTCESSSDUU2JBBVPOS7EJ4GDHFXPUDK2TVDNTDZYKJOFLSJN7ORJQCTTKU;-37500.0;0.0;0.0;0.0;0;0.0;[];37500.0;['RECKG5437Q6SNUFSQJ5Q5SXFU2OB6XBGPIVFZN7NNDRPZCXPQBIA', 'GORAXVRENKJRO7NJHDVXE76ZYESLW3LNBYTLE4AOBHU2JSTKFRBA']
7SKWR25K5M4KSV5GEQSBZF3YDGJ6OFDTWIB5IYBOA6DLLJD2ESYYZS674Q;-26769.999983;1334.0;2223.333333;0.0;0;89.999999;['MK25ZKR3LZVCPOJ3EEGMQUWW533I77XQJNI2P65CWALHWUUFVRMQ', 'LQEDVMGKQJ4VFGPWYQZGYIETRK4QNIWHOVRJHHGCSFCI6TSLGDTA', 'Z75U2YC2J5M27LQULPUQDFMPSZJH2TETDPPLISRUGCFPS3SYJ2OQ', 'DMNBU3URJG4QMH5JPHAW4A5PXOO7TY7BKNQMDPYSSFA7PRDXHICA', 'VUT2IU5JBZF2JYTJSUFF2WTL5XEREBNIAH5ADXP44G5S6NN6RGPA', 'LBMJA7TKLYUID4XFZJJH5PXIOQCF57JLQQZGX7IKFS2OLKPMVXHQ', 'PPTHZK7YEOUVREZFLT25NKAOO6MWHG5MMLRZYFGGJRN2ALFSVVXQ'];26679.999984;['S42HV3GKTJQH3Q4TZFOUWIPHDLHQR662RHG5VJOWCHZ3CRFUL26A', '3TAPISGH7BAU6L4WIHB4JBLO5JJ5VSKMNTDSABH7342IQJAEAWNA', 'GV7KMAUX2HLYJPL5YDTUSOM2SAJSBNUN6BMJZA3XV2ILTUUAFZAQ', 'XZ7GXAGI5GM7A73ISOFV5DWLWDG7WCKIEVIX2KMC637SM3JH5EQQ', 'ASQ6ERDENWUUOE676UV4LKLRJPAI26Q3CPT3YLFOYOKXMWCXQY4Q', 'PZUFDFPFMQCBXZVBHD2S4A5K5QILPK54IZYU2GVIOTDKHT37G5IA', 'GHLHMLH5OWWAFL2P4OZSJLRHZAOZR6QW4K5JJLHIRJPLVAUT5CSA', 'DLPKK3CIDPHG3CAG76IFELYKRLULFZMN346KAN7LR5UZ3VJOW2SA', 'XDS4KOLGJ3JQ3VR2IKYO3MBZSAXSTU7K2AOUHXT3CV36DKL3GGDQ', 'EGJFQRVJ6WMR7LI72I2F62OICO5PIEUJOX4KK5OVX5F3DQYOTZNA', 'TJQ3TG4ISSJOGGQPYAA66QZSWP3GFMR463YLACBBBQBOMGAGGOXA', 'GOC7AVD3DP6IXOEZIUHM4VJMRYUY2NKG6H7EHJIKGV4NAB36JNNQ', 'W3YKT7CA2LMEZL4K33SCCDA3AW3KEZNGW26P765YCGNHJ2JI2BPQ', 'JISAQOS6H7C737ZPJPKDEHVW3A64L4PX5HTIC3JENY22U2LOOCXA', 'JVLA55IHDI3Q3YANW3AHFQ6JLMCRRBWNCQ5BENWGC2PCGXJWQVHA', 'RWKTIGKC4VZZ6R52P7TE3UP2VRZSNYEG7XQM6M47GKNYYHGHGDOA', 'OQDGKHUQEDPAPGAY5ATPVOWQ3BE3RMWTJRCNSXLFR2WWLBAL2LCQ', 'OSP4HSDSVY2NGFTNKQSSOHDH44YHFOKMNK6DGEEEHY2O3C57VUUQ', 'TM5JCCLWXLACUQR5NHJSTDNXZ3ZHVMQRLOY4V27QCRMH6O653FBA', 'PSXPIBILGA3535NEJQXOXFYSUQCTZ7KDDM3P2XLGR6ELNRKIP5EQ', 'LGO6V6VQO6USCDMEULOURMEDWNW4HRMWNEMFGDSA4MFB3UVTTCEQ', 'N4FWHQBBDJBDGLVT7ZLWNP35RQTFEDSW443JEOZVHSJR52NT3RTA', 'HAT4UNJA2WAX2AQTBRJ6UA6QHC6NTP6LN5RYBLGCQRI5ZAPM25TQ', 'BMM55WYXHCBHC446MRYYMYV6KWFVH2TZXVKQAUAE5O4HS3H3ZTGA']
LQSOZ532NBPMZ2HNGKWD3ETTMPUYFVFTXBP5CSXAVTELZMG2U7DS5LTKXA;-4471.666666;1334.000001;2223.333334;6929.672827;3886666667;-0.0;['ADEGT2VNNXXPT3YVVEBQDNXOY5KERW5ZJ74I5DMIF35ETBOO7K2Q'];4471.666666;['DLXBKJ4QRKS3D2SFAADN7HZTIQELFZYE2S7LFAQ6MFHFBSXT5QEQ', 'ZCSEQ3RUQVNX6QWRKJVE2ZUAPJYZ2KS6AB4FECF76GO7SNX4CPIQ', 'B6DNBVFXHLHRFGKH7467DQ24WCQNCF73LXNERNR52PRMPRV23WJA', 'NEVWICYCGSSW3KZWGM3DAQ7NLKTOSBINMWODH6YPACWB4VGZSFKQ']
3XPAPVWA7WQKDQ2OGMJCHJ5RZA3K34O6XB7ZXHRHNHTVQ6UQC76URMZXVM;-8893.333327;1334.0;2223.333333;399.999999;555000000;-1e-06;['23SANG6NIZ7IJACQZFNHAAL475L5AGCYEPKEPVNAFVHRGRCMEEKA'];8893.333328;['ABASBPHJTQVQKI4P4NRTVEYDAKECXOKMGR2AA6B4LK4XB36Q3TSQ', 'MFO5N6NJJYPH4D42H25OPMK7NWUZ52H7TCCOU2W47LX6GDMKZL7A', 'MGY37BRMOMGHC4IAG4SMJBWKRGDIIO467EREQXV7T3BF744E7TJQ', 'WIX75HG62ZUC46L5AUXSCPAMRAUJ7LJ4UKMXUTSRHGCAFS4GYAPA']
HJUT4ONYI6X7RIIBNKW2J2FG5AVLG4VY2MNMYETN44T6PR6UMFJBAB2MTQ;-5339.533;0.0;0.0;0.0;6663333334;0.0;[];5339.533;['VJQ6UBYURRR3UNFCPH2UYFNATTZQNEGZCZOMN7ZF44FPNFDJFBZQ', 'I3Z7THLE4RNLP2E5BEOXQFWSZU6372HNCXY7VYS73WZOPSOUUCJA', '4FLSCNMSFD7EZOADS4PS3OB7SWQOW3EOAQDZPK6IKY5HV4L4IKLA', 'VKUULBV4ME2NNWIGC37N2Q7DAK2WOAEIS55I4BI3UT2723F6IJ7A', 'LTZY4E4T2U5EHSWA7A6JZPSRNA7XPQNZ5H2VC6PS2NMPJ4C72F2A', 'FHOEUILHSRR3YGQ6OTC3VMYHEVJJWI3AAZSTZ6DZOAIVLHYFIQMQ']
6L5BEX2PQIZDNHAGSMR54LZSCJNTMAVFUENMGMLUND2JID3SESS3II5IXI;-15461.500003;0.0;0.0;0.0;0;15461.500003;['635DGX5VD3A6ZGIXFEOUGPQSGWOKS6Y7AJYSJJP3QOIITFNZUSDA', 'LKNLTSIKUYJOA644RMHYEPCD7USRI7PMUCMTZUKJZKCSA3PIADQA', 'Y353Z7CGJZWZT52VOYKWPJ3PWPGV32YZGIE4UFKQ2QEICS7OK6GQ', 'MAFOEZB2SOY72QXE73IM2UVRDZ3NRPM5A5CLER4U6VCO5V3VRN2A'];0.0;[]
MY55GYK2ADPZ63A3HV5SRLFZBYL4M7ZDWFT23EI22LMWTCI2EEKPL5UHUU;-10714.285714;0.0;0.0;0.0;0;10714.285714;['J3PHPRYUFD56RUGUDXDGU5M4EEMTWTZC7NMWRVRYFKZIQHHO25IQ', 'MQOGE27E7FRAROGPETP4F7AMQBZYFRDJZTPAWHG77D2X3SEXDUVQ'];0.0;[]
UG3D6OQU577EQENQVIXTRE7OHBUJYTO77X4V77UJAQGJIWWUK4UXGHAQAM;-9139.24;0.0;0.0;0.492419;0;0.0;[];9139.24;['FONOMASGQ3RDOOJTMCAAX67QR7MJMM3IVG2FP7C222E3LHYPGDJQ', 'VSJIEQAY7A2Q5AZUUWZ64SV4DFJQSQR4EINXQXQ3YAKSTI23VKJA', 'UNRXYOPWEQFEY2Z4PVXCZWXQIREUZND4GOM5WY6OS3XG5DBWEZWA']
2F56TWDI37OB4ETLAICAALRFLUAVD67RGUD52VMO7XM5FIXJRYV7OLO66M;-6666.666664;1000.0;1666.666666;0.0;0;-0.0;['F7CWQEUMWIKRFB7LAP5HVESDM7IZAXBBRBMDVCE5CVMTRUP62SIQ'];6666.666664;['V3ZC3AC54GG2TLRDDDUX4TEE7YCNWL2RCJJGXW2AQHUOEKURKCIA', '3B2ARXYDJJPMXCH36MI3YGDVCWXV6G4N4ZOYMOZLLSSNPUYRP5MQ', 'KWBR2JEBMD22Q4UAGPL3WXEDU7IUE5HWOINLOO6HWLSI6XDKWC3A', 'D4BMPKMN4RPK5PJCNYGWI5B5P64NXKCVNCNIQEO63QB7TNPSRRUA']
JSFO6DSF4BTN6ORPIAM2HVNCREPC5TRQOYQE4PNTXLOCR2F34PTEIBXGEI;-5000.479923;1000.372014;1667.28669;0.0;0;0.0;['DXWOZJYLEGUWMRNYVLGISYUD33AXOISHSEO4OBSC6M4XHKSDHYDA'];5000.479923;['SNXA3INGVT6TP3GBVQTOUCYMQWSDBEZHMMS32GQPNBZUWWWLDV5A', 'ZBV5ZJDTJCUPXAR762NHZYATZGRFE4MNKGA5LED5FIPJC2WKTLPA', 'T5OD3DUGAL2ALKEMW4GF4RG6RO5KMFUZKSPYHMWWHBL52JGRHWHA', 'HLA5H72777F2L75DI3K26YHF5H4UEX6MV23O4WNNEUHS2AD6MDXQ', 'CLWXX6H7HNLCEOLZP7BEOLY36J3FIDWC6ZKR4DZSSEWQ5AGJPT4A', 'Y7ENY3HVGGVEPENBA4SWQ4TNJTMFZCGSMXS6WLZ3DL7AII2ZHPXA']
WG5O5FW7CXP2NIX23YF4MUKK7VCXAQFLTCGR4J2OXZZV52VFQOLQJ3I3IM;-1151.214484;1334.000001;2223.333334;424.644357;2776666667;-0.0;['NXSF33WLQ74PQK2LJO4GG43ZRSL3TEVNPJMKANBVUF2NC3GR54LA'];1151.214484;['V2JNNLOXC6HRZQ6U43RABI6JZTGYTYIL2EWPUVY3U5GWV4NSRC7Q', 'ZQYRSDZRG7HVCXEXSTLEOXVBK4DVQGWLO5CPVATKJY473RIFHALQ']
M73MP4VRB3NVR3VTL2EZPKF4F6NUVCCWAJPDAGS3OETOQ2DFGMFXPEVUSA;-4446.986056;0.0;0.0;0.0;0;0.0;[];4446.986056;['J3ZI3H6IXEIG3PTMZBO4TXW43ZONBV5WK6XMH5SPQRA7OVIECOAQ', '6UY6KKKPHXAQAKCXJK46HZZEHAY44BNXAHYJRWKE5LJVBI3F7POA']
4NQ27UW5YM2WXM6OHQXSZ6SNS5O3SUIKJCBNXADLS7CZIUQ3CGRPJ3Q2EU;-4366.18;0.0;0.0;0.538163;0;0.0;[];4366.18;['JOQUNMVA2YGOZCNS7VSBLRF3QTEYEX3H3MOKG2NGRXGRK5XJ6YQA', '3EPM734RLCV4OQIRVILPZKOP5YCBLFWTXXUALSLZWUQHY2MWNK7Q', 'DZ4CUAWE26UMQ3LAFHGDYAYJMPQ4T4ZGKJUAY27HTG7P6HNQLXGQ', 'G35SGRJJ2QSXBR6MDNNRQHFA44TZJYLV5OQ5WFIO6PNXOQO5ZBCQ']
2QMQHSZFCZ4MQXFPCYRJRLX3SNAQS6KSDIHQQY5V6MS2P6HF4VZOFHO5SQ;-4082.69;0.0;0.0;0.0;0;0.0;[];4082.69;['WZH6ZWOWKYA6RT4Z7BYYKKINONP6VLK22SZUOR7AIEWH3CUYBHQQ', 'N5TADOYQK3TTSQM7JAZ24WOTZWFAGOJBOXS3AIIO7OKKVU4LKGOA']
RNIP7XCDKKE5LFM6SBORGJUMS6BI4HIVBHAOP5JX3KLNMGGFJBGGFU7CXM;-1972.999999;1322.0;2203.333333;1721.442192;0;104.999999;['DBGVYGZIYJKYUMXG5LQWGT3DX5HX5KVJTISFK3V5ITGLIK5SEKPQ', 'V4SZ4PPJCSBXMBX44XLK2JQS5B6W4SBLEQ3GQNIFGAAD7PWXSXNQ', '2GU5XIUXQBUECJLKKPZ3YPQ3MSUQATUESEHCOQZHWJUMNU4TV7AQ', 'DBC26AWDWB7UP35EEDEKOFS5S4TQ2CQFT2IJRQCW4HXGQT2DFKQQ', 'VFH2RP633P4IZ5MAYSYXXIWGFBV2I4QUVIAMQNNEFXRRVBJXWO3A', 'YRFPLQX7V5QJMUKV6S54GNMTH67MWT3RFXSY2546GJ5X2CWF63LA', 'RRI5LYIAKTUH27LONUGXUPSPXJAAZC37IJGM25FYNXY2CHDMDXFQ', 'R4DNS2ZZAEX5JN3ZG3YYW67EFLEDIIFFJSWDQH7T4ALVBYH56IFA'];1868.0;['WS2ECAOO5N34F7KNDAW5C3YQGVSE62G3DXUHTALHEIAARHVSIOIQ']
4MMC5Y7F4NHON3KACD62PWRC7LBPSSUEYWVAHJTBHO5IZ2CMZK3ZFM4VZY;-1394.0;1000.0;1666.666666;2319.999998;0;30.0;['PHGALFNA3P7FSBJISRGTLMT42VVSFE5ITRRCE3AVINQTUR7Q3JWA', 'AJI3PJTUZM3NHU6GDVOUYBJ5GZE3CA4K5MI6U7RVOIZ6RJMEVWLA', 'V7AFG6PBS37GWAOBVXQA62UQOCRCCGPIASKJT6J74AIPH2SRVMMA'];1364.0;['3Z2IZOVKDR6CJCXU7RQ45HYAL5YMM6MHZQ73PPL2FGTLMZ4LEJ3Q']
T5YO7HNXY6KKVQKDRLY5IBGMWKCQQ3PFQPVOQCFXX65QWCH4YD7DZ36RLY;-3512.27;0.0;0.0;0.0;0;0.0;[];3512.27;['AP25SOAHGGBBSLMWEVYPGYEJVI7CHQI3ZJAXSH5J2QSYWAT4PJBA', 'XXTNSREOWHLSHSTX5DIB2PRODFU3ELDQV5C5I7BGQ6EDCQR73FNA', '6KBZTPLPEJBDNG4ALUSGIQCG2IF5WBE5IUZHZQUVTNSHW24AI7FA', 'UMINDVET7STQZVBVM77PYSWT336QAHC2NHMYY7DQC7IVHK37F36A']
HQAIWPXHXUOGCDORCHHTRIJSSCZMPHESQGSPLUJ3FWN54UCVVNLYWH4O3M;-1071.428571;1099.0;1831.666666;0.0;0;-0.0;['PBQGVITNABRBQWQZ2OBGZSVZPE7FWZ2AY3MY2ZWVQI33XL4ILBQQ'];1071.428571;['ZQRRNKQV3OJHITJDTHG44YXZGSGU5S6MER5YMHLY7MMAZKNUEYYA', 'N3TZ7FJXJU2456L2GDW23JLQSMSKRAFFYWCJQMHB6UA5OE6ZB7AQ']
7SRO7LL7DKUIBRXMCBAW777BSBM7AIDXV2TIFIWWW52QCWHIQ4J7BHLDGE;-6194.127999;0.0;0.0;4.999999;1666666667;0.0;[];6194.127999;['FSECGT7CNQY4UZIAZYDZFS4SLJTI5YKGY2FXGWRNXPACEPJCID5Q', 'QEL4SXWDRY73RQIBGWWQKJ4WMREEVEVECS4AFYDOFXZUOGWNDDHA', 'GB7K35IEDGIOUWKVMQ2MYZUYEFC6L2N5XSDQCGF6BRJUMW5PAHKQ', 'FUFGUOAYNYXAVF544F3RQ2ERGJLD6LAW43IMXBGUMSV5OF3Q2S3A', 'KE35CY2CTR6FGQJJ2DZ4ZTXSKCY25KBHMRBB2W42USZKUNLJ7XSA']
5IDCMP54CHZP3E5VG5GJTVWHHTA5CVANRZCPGM7FK6LV3IINL56SFVG2RQ;-2220.0;0.0;0.0;328.791754;0;0.0;[];2220.0;['VTUIQ65RPJGXPNEBPGTEG445JAMDNR6BWARPVL2XQ4N2R5ZJS6JA']
MULEX5X35HF5BORNJ6QAUVFZG26BY4RYZQOM6C6LYNKJSSCUVL53M7A5YQ;-2430.0;0.0;0.0;0.0;0;0.0;[];2430.0;['MP3SDRBJ5YRQWVFA7IBKWB7LGC4Z6IA4Y3JPJLHLZR74SOZE4TGA']
MNGDLZE2EZEDEOAJ7FNLIS4XYJZSN7WZM72WNUYUMRVQSQBEJ3ISXZBHZE;-104.999999;356.498306;594.163843;1627.302569;0;104.999999;['7O3Z6ZEPCYZWB473CYXNKIBCF4K63NCZSQVLWNCAQZJQVXB7AISQ', '3GBGOIR76WPXVMNRGR6SISZGY6KPYOFXVLHHXN2CRKYSUTC2KVJA', 'LTEVEIITTURXIHWOXVO62PEP4NQCVVHCG2IFTMPVN6RANVV3AFQA', 'HUP7BBTHUAXLNIMBYZG77VS3RICGIXKOYZBMQIRMHEQATSNDO36Q', 'BPEJ7EJUT7CWTJYHGFTATVQQE246BAYSB3DL46PDYDCQIJHIXHQA', '4RUIW4ACF2D7XQYEFKMWQX76QEVWG4HVKCGB5X3GF4HNUJ4WR6JQ', '42IBXCHWK65EVSJSSUKJFEGUI6BOOPOK4STU32C6DYRGRQWYPF7A', 'PFAN3YYXEGKOLYXVICKUF4Y6ZOHUNUBJHDBLMHDRMQ2I4PYGLRAQ'];0.0;[]
CEKS4MLMYXGZNYST4ZJ4F3XWWU347O424RDGPKKZP5ELDGTJOMG56FNWUU;-1660.0;411.767295;686.278824;0.0;1110000000;-0.0;['2RY5MW6Q7LP7KILT52YQDK7GECAQMKWTU5NFEMG2NNTFY2V3B7FQ'];1660.0;['KWIGAMYLFLWHY3GLVVHAEIBPLSCEOLTQSJNYBVONGTRHWXHXVYZA']
FD44LVH2M64JQVT6ZPCZZIOX4KK2YY5IDXUM5KZAEPO6TIEPP4M6JX3FQ4;-1083.999999;700.032686;1166.721142;0.0;0;74.999999;['MNRF5HCR3ASZQDLS37RWRJ7XV3MS57NAXMCVOXYWHHKOTE3YRY7Q', 'NTNYC24WDA7S6NJGYTDBBYEBF7OPSOXZV3W443UK5XB7COGQIEBQ', 'UPVB7PJFIJBNCFEIG7KZF7UPUP4E2AZT2E4QRB4C3CR4FNBTJIFA', 'OPG2S3JDFE4B56LWS7OGBWZSCMPFDJDVSLQHV6MF52ZYIX6RHJNQ', '5UZOWJGFFHO2J7KNEJ4AMSNBFICPGOZ4NGQTSZEV5KA3VHZH63TQ', 'R4PRNJELACDMIA63OYZ3OXAV5BOZVYGNQL7DCUFM6CEGSU3WS5UA'];1009.0;['25F3XWMBDUODG7OQTUF57GVLNY7ZORTRRZBQUKKAJABGBFO3UW5A']
